file_path,car_name,year,price,currency_symbol
D:\html_files\car1.html,Ford Ranger Raptor MY22 4X4 Constant,2023,"104,990",$
D:\html_files\car1.html,Volkswagen Tiguan 110TSI Life 5N MY23,2023,"44,990",$
D:\html_files\car1.html,Toyota Landcruiser Sahara ZX FJA300R 4X4 Dual Range,2023,"154,990",$
D:\html_files\car1.html,Audi RS5  F5 MY23 Four Wheel Drive,2023,"174,990",$
D:\html_files\car1.html,Ssangyong Rexton Ultimate Y450 MY23 4X4 Dual Range,2023,"51,990",$
D:\html_files\car1.html,Audi Q5 35 TDI FY MY23,2023,"74,990",$
D:\html_files\car1.html,Volkswagen T-Cross 85TSI Life C11 MY23,2023,"33,590",$
D:\html_files\car1.html,Volkswagen T-Cross 85TSI Life C11 MY23,2023,"33,590",$
D:\html_files\car1.html,Volkswagen T-Cross 85TSI Style C11 MY23,2023,"37,990",$
D:\html_files\car1.html,Volkswagen Tiguan 162TSI R-Line 5N MY23 Four Wheel Drive,2023,"59,990",$
D:\html_files\car54.html,Mitsubishi Outlander LS ZK MY16 4X4 On Demand,2015,"18,990",$
D:\html_files\car54.html,Volkswagen Golf R 7 MY16 Four Wheel Drive,2015,"34,990",$
D:\html_files\car54.html,Hyundai I30  GDE3 Series II MY16,2015,"18,990",$
D:\html_files\car54.html,Holden Commodore SV6 VF MY15,2015,"19,990",$
D:\html_files\car54.html,Hyundai Santa FE Active DM3 Series II MY16 4X4 On Demand,2015,"21,990",$
D:\html_files\car54.html,Chrysler 300 SRT-8 Core Satin Vapour LX MY14,2015,"47,990",$
D:\html_files\car54.html,Jaguar XE 20D R-Sport X760 MY16,2015,"29,990",$
D:\html_files\car54.html,Mercedes-Benz GLE-Class GLE350 D C292 Four Wheel Drive,2015,"64,990",$
D:\html_files\car54.html,Renault Clio Expression IV B98,2014,"13,990",$
D:\html_files\car54.html,Nissan Pathfinder ST R52 MY14 4X4 On Demand,2014,"16,990",$
D:\html_files\car55.html,Subaru Forester XT S4 MY14 AWD,2014,"29,990",$
D:\html_files\car55.html,Subaru XV 2.0I G4X MY14 AWD,2014,"17,990",$
D:\html_files\car55.html,Ford Ranger Wildtrak PX 4X4 Dual Range,2014,"35,990",$
D:\html_files\car55.html,Mitsubishi Triton GLX-R MN MY15 4X4 Dual Range,2014,"29,990",$
D:\html_files\car55.html,Subaru XV 2.0I G4X MY14 AWD,2014,"23,990",$
D:\html_files\car55.html,Audi SQ5 TDI 8R MY14 Four Wheel Drive,2014,"34,990",$
D:\html_files\car55.html,Ford Ranger XL PX,2014,"18,990",$
D:\html_files\car55.html,Ford Ranger Wildtrak PX 4X4 Dual Range,2014,"23,990",$
D:\html_files\car55.html,Ford Falcon UTE XR6 Turbo FG Mkii,2014,"31,990",$
D:\html_files\car55.html,Toyota FJ Cruiser  GSJ15R MY14 4X4 Dual Range,2014,"43,990",$
D:\html_files\car56.html,Subaru Forester 2.5I S4 MY14 AWD,2014,"19,990",$
D:\html_files\car56.html,Jeep Cherokee Longitude KL MY15 4X4 On Demand,2014,"23,990",$
D:\html_files\car56.html,Mitsubishi Pajero Exceed NX MY15 4X4 Dual Range,2014,"37,990",$
D:\html_files\car56.html,KIA Cerato S YD MY15,2014,"14,990",$
D:\html_files\car56.html,Subaru XV 2.0I-S G4X MY14 AWD,2014,"18,990",$
D:\html_files\car56.html,Mitsubishi Pajero Exceed NX MY15 4X4 Dual Range,2014,"39,990",$
D:\html_files\car56.html,Mazda BT-50 XTR UP 4X4 Dual Range,2014,"29,990",$
