source_url,car_name,car_price,dealer_name,dealer_address,dealer_no,dealer_mail,model_year,Type,Colour,Transmission,Engine,Power,GVM,GCM,Drive Type,Fuel System,Body,VIN #,Reg #,Stock #
https://www.jmc.com.au/demo-cars/for-sale/audi/q5/2023/40-tdi-s-line/fy-my23-4x4-on-demand/2522506,2023 Audi Q5 40 TDI S Line FY MY23 4X4 On Demand,"$89,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Grey,7 SP Sports Automatic Dual Clutch,4 Cylinders 2 Litres Diesel,150,,,4X4 On Demand,4 CYL Direct Injection,SUV,WAUZZZFY-XP2107762,K08ZA,N40447
https://www.jmc.com.au/demo-cars/for-sale/audi/a4/2023/45-tfsi-s-line/b9-my23-four-wheel-drive/2585758,2023 Audi A4 45 Tfsi S Line B9 MY23 Four Wheel Drive,"$69,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Grey,7 SP Sports Automatic Dual Clutch,4 Cylinders 2 Litres Petrol - Premium ULP,183,2110 kg,,Four Wheel Drive,4 CYL Direct Injection,Sedan,WAUZZZF4-4PN016563,L15EN,N40632
https://www.jmc.com.au/demo-cars/for-sale/audi/rs5/2023/f5-my23-four-wheel-drive/2633738,2023 Audi RS5 F5 MY23 Four Wheel Drive,"$174,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Grey,8 SP Sports Automatic,6 Cylinders 2.9 Litres Petrol - Premium ULP,331,2210 kg,,Four Wheel Drive,6 CYL Direct Injection,Coupe,WUAZZZF5-XPA903168,L79DM,N41666
https://www.jmc.com.au/demo-cars/for-sale/audi/a3/2023/35-tfsi/gy-my23/2469473,2023 Audi A3 35 Tfsi GY MY23,"$49,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Ibis White,7 SP Sports Automatic Dual Clutch,4 Cylinders 1.5 Litres Petrol - Premium ULP,110,1880 kg,,Front Wheel Drive,4 CYL Direct Injection,Sedan,WAUZZZGY-2PA050302,K83VS,N39834
https://www.jmc.com.au/demo-cars/for-sale/audi/q3/2023/35-tfsi/f3-my23/2517821,2023 Audi Q3 35 Tfsi F3 MY23,"$62,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Grey,6 SP Sports Automatic Dual Clutch,4 Cylinders 1.4 Litres Petrol - Premium ULP,110,2055 kg,,Front Wheel Drive,4 CYL Direct Injection,SUV,WAUZZZF3-1P1051706,K02ZA,N39741
https://www.jmc.com.au/demo-cars/for-sale/audi/q8/2023/50-tdi-s-line/f1-my23-four-wheel-drive/2573613,2023 Audi Q8 50 TDI S Line F1 MY23 Four Wheel Drive,"$139,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,White,8 SP Sports Automatic,6 Cylinders 3 Litres Diesel,210,2890 kg,6400 kg,Four Wheel Drive,6 CYL Direct Injection,SUV,WAUZZZF1-4PD015554,L05BG,U63232
https://www.jmc.com.au/demo-cars/for-sale/audi/q5/2023/40-tdi-sport/fy-my23-4x4-on-demand/2522915,2023 Audi Q5 40 TDI Sport FY MY23 4X4 On Demand,"$82,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,White,7 SP Sports Automatic Dual Clutch,4 Cylinders 2 Litres Diesel,150,,,4X4 On Demand,4 CYL Direct Injection,SUV,WAUZZZFY-9P2088315,K11ZA,N40464
https://www.jmc.com.au/demo-cars/for-sale/audi/q5/2023/40-tdi-s-line/fy-my23-4x4-on-demand/2522912,2023 Audi Q5 40 TDI S Line FY MY23 4X4 On Demand,"$84,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Florett Silver,7 SP Sports Automatic Dual Clutch,4 Cylinders 2 Litres Diesel,150,,,4X4 On Demand,4 CYL Direct Injection,SUV,WAUZZZFY-1P2109156,K09ZA,N40446
https://www.jmc.com.au/demo-cars/for-sale/audi/q5/2023/40-tdi-sport/fy-my23-4x4-on-demand/2522911,2023 Audi Q5 40 TDI Sport FY MY23 4X4 On Demand,"$78,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2023,Demo,Florett Silver,7 SP Sports Automatic Dual Clutch,4 Cylinders 2 Litres Diesel,150,,,4X4 On Demand,4 CYL Direct Injection,SUV,WAUZZZFY-5P2098923,K12ZA,N40458
https://www.jmc.com.au/used-cars/for-sale/audi/sq5/2014/tdi/8r-my14-four-wheel-drive/2629418,2014 Audi SQ5 TDI 8R MY14 Four Wheel Drive,"$34,990",Hobart,"152-170 Campbell Street, Hobart, TAS 7000",(03) 6238 3300,managerscampbell@jmc.com.au,2014,Used,White,8 SP Sports Automatic,6 Cylinders 3 Litres Diesel,230,2530 kg,,Four Wheel Drive,6 CYL Direct Injection,SUV,WAUZZZ8R-0EA131691,D80ZF,U63866
